,date,open,high,low,close,volume
173,20201207  18:25:00,169.76,169.96,169.76,169.925,-1
174,20201207  18:30:00,169.925,170.095,169.925,170.005,-1
175,20201207  18:35:00,170.005,170.025,169.905,169.91,-1
176,20201207  18:40:00,169.91,169.995,169.9,169.955,-1
177,20201207  18:45:00,169.955,169.965,169.765,169.815,-1
178,20201207  18:50:00,169.815,169.88,169.625,169.775,-1
179,20201207  18:55:00,169.775,169.785,169.43,169.58,-1
180,20201207  19:00:00,169.58,169.58,168.93,169.05,-1
181,20201207  19:05:00,169.05,169.2,169.005,169.11,-1
182,20201207  19:10:00,169.11,169.325,169.1,169.225,-1
183,20201207  19:15:00,169.225,169.31,169.14,169.29,-1
184,20201207  19:20:00,169.29,169.39,169.215,169.35,-1
185,20201207  19:25:00,169.35,169.43,169.3,169.385,-1
186,20201207  19:30:00,169.385,169.64,169.375,169.61,-1
187,20201207  19:35:00,169.61,169.615,169.505,169.525,-1
188,20201207  19:40:00,169.525,169.54,169.43,169.455,-1
189,20201207  19:45:00,169.455,169.52,169.42,169.51,-1
190,20201207  19:50:00,169.51,169.51,169.355,169.46,-1
191,20201207  19:55:00,169.46,169.575,169.35,169.54,-1
