,reqid,date,open,high,low,close,volume
387,4105,20201211  15:45:00,6.75,6.75,6.4,6.45,-1
388,4105,20201211  15:50:00,6.45,6.7,6.3,6.6,-1
389,4105,20201211  15:55:00,6.6,7.0,6.6,6.85,-1
390,4105,20201211  09:30:00,6.45,7.3,5.45,6.5,-1
391,4105,20201211  09:35:00,6.5,6.75,6.3,6.55,-1
392,4105,20201211  09:40:00,6.55,6.65,5.65,5.65,-1
393,4105,20201211  09:45:00,5.65,6.3,5.6,6.3,-1
394,4105,20201211  09:50:00,6.3,6.45,5.85,6.2,-1
395,4105,20201211  09:55:00,6.2,6.6,6.05,6.3,-1
396,4105,20201211  10:00:00,6.3,6.6,6.3,6.4,-1
397,4105,20201211  10:05:00,6.4,6.5,6.05,6.45,-1
398,4105,20201211  10:10:00,6.45,7.05,6.45,6.9,-1
399,4105,20201211  10:15:00,6.9,7.0,6.65,6.65,-1
400,4105,20201211  10:20:00,6.65,6.8,6.5,6.5,-1
401,4105,20201211  10:25:00,6.5,6.9,6.5,6.8,-1
402,4105,20201211  10:30:00,6.8,6.8,6.3,6.4,-1
403,4105,20201211  10:35:00,6.4,6.6,6.4,6.6,-1
404,4105,20201211  10:40:00,6.6,6.6,6.4,6.4,-1
405,4105,20201211  10:45:00,6.4,6.4,6.25,6.25,-1
406,4105,20201211  10:50:00,6.25,6.35,6.0,6.1,-1
407,4105,20201211  10:55:00,6.1,6.3,6.0,6.15,-1
408,4105,20201211  11:00:00,6.15,6.45,6.15,6.45,-1
409,4105,20201211  11:05:00,6.45,6.6,6.2,6.2,-1
410,4105,20201211  11:10:00,6.2,6.3,6.1,6.2,-1
411,4105,20201211  11:15:00,6.2,6.4,6.15,6.25,-1
412,4105,20201211  11:20:00,6.25,6.25,5.85,5.9,-1
413,4105,20201211  11:25:00,5.9,5.95,5.7,5.7,-1
414,4105,20201211  11:30:00,5.7,5.95,5.7,5.9,-1
415,4105,20201211  11:35:00,5.9,5.9,5.6,5.6,-1
416,4105,20201211  11:40:00,5.6,5.75,5.45,5.45,-1
417,4105,20201211  11:45:00,5.45,5.6,5.35,5.55,-1
418,4105,20201211  11:50:00,5.55,5.7,5.55,5.65,-1
419,4105,20201211  11:55:00,5.65,5.7,5.5,5.6,-1
420,4105,20201211  12:00:00,5.6,6.0,5.6,5.75,-1
421,4105,20201211  12:05:00,5.75,5.9,5.65,5.75,-1
422,4105,20201211  12:10:00,5.75,5.8,5.5,5.5,-1
423,4105,20201211  12:15:00,5.5,5.6,5.4,5.4,-1
424,4105,20201211  12:20:00,5.4,5.45,5.2,5.35,-1
425,4105,20201211  12:25:00,5.35,5.5,5.2,5.45,-1
426,4105,20201211  12:30:00,5.45,5.45,5.25,5.25,-1
427,4105,20201211  12:35:00,5.25,5.4,5.15,5.2,-1
428,4105,20201211  12:40:00,5.2,5.4,5.2,5.3,-1
429,4105,20201211  12:45:00,5.3,5.45,5.25,5.4,-1
430,4105,20201211  12:50:00,5.4,5.6,5.35,5.55,-1
431,4105,20201211  12:55:00,5.55,5.65,5.5,5.6,-1
432,4105,20201211  13:00:00,5.6,5.8,5.55,5.8,-1
433,4105,20201211  13:05:00,5.8,5.9,5.75,5.8,-1
434,4105,20201211  13:10:00,5.8,6.15,5.8,6.05,-1
435,4105,20201211  13:15:00,6.05,6.15,5.9,5.95,-1
436,4105,20201211  13:20:00,5.95,6.0,5.8,5.8,-1
437,4105,20201211  13:25:00,5.8,5.9,5.75,5.9,-1
438,4105,20201211  13:30:00,5.9,6.1,5.9,6.1,-1
439,4105,20201211  13:35:00,6.1,6.4,6.1,6.35,-1
440,4105,20201211  13:40:00,6.35,6.45,6.2,6.3,-1
441,4105,20201211  13:45:00,6.3,6.35,6.2,6.3,-1
442,4105,20201211  13:50:00,6.3,6.55,6.3,6.55,-1
443,4105,20201211  13:55:00,6.55,6.85,6.5,6.55,-1
444,4105,20201211  14:00:00,6.55,6.6,6.4,6.5,-1
445,4105,20201211  14:05:00,6.5,6.65,6.5,6.6,-1
446,4105,20201211  14:10:00,6.6,6.7,6.55,6.55,-1
447,4105,20201211  14:15:00,6.55,6.75,6.5,6.65,-1
448,4105,20201211  14:20:00,6.65,6.75,6.55,6.65,-1
449,4105,20201211  14:25:00,6.65,6.7,6.55,6.65,-1
450,4105,20201211  14:30:00,6.65,7.05,6.65,6.95,-1
451,4105,20201211  14:35:00,6.95,6.95,6.85,6.85,-1
452,4105,20201211  14:40:00,6.85,6.95,6.75,6.9,-1
453,4105,20201211  14:45:00,6.9,7.05,6.85,6.9,-1
454,4105,20201211  14:50:00,6.9,7.0,6.65,6.65,-1
455,4105,20201211  14:55:00,6.65,6.75,6.6,6.65,-1
456,4105,20201211  15:00:00,6.65,6.85,6.4,6.4,-1
457,4105,20201211  15:05:00,6.4,6.55,6.4,6.45,-1
458,4105,20201211  15:10:00,6.45,6.7,6.45,6.65,-1
459,4105,20201211  15:15:00,6.65,7.4,6.65,7.25,-1
460,4105,20201211  15:20:00,7.25,7.25,6.85,6.85,-1
461,4105,20201211  15:25:00,6.85,7.0,6.85,6.85,-1
462,4105,20201211  15:30:00,6.85,6.95,6.7,6.8,-1
463,4105,20201211  15:35:00,6.8,6.9,6.8,6.85,-1
464,4105,20201211  15:40:00,6.85,7.0,6.75,6.75,-1
465,4105,20201211  15:45:00,6.75,6.75,6.4,6.45,-1
466,4105,20201211  15:50:00,6.45,6.7,6.3,6.6,-1
467,4105,20201211  15:55:00,6.6,7.0,6.6,6.85,-1
