,date,open,high,low,close,volume
61,20201207  09:05:00,56.16,56.16,56.16,56.16,-1
62,20201207  09:10:00,56.16,56.16,56.16,56.16,-1
63,20201207  09:15:00,56.16,56.16,56.16,56.16,-1
64,20201207  09:20:00,56.16,56.16,56.16,56.16,-1
65,20201207  09:25:00,56.16,56.16,56.16,56.16,-1
66,20201207  09:30:00,56.16,56.16,56.16,56.16,-1
67,20201207  09:35:00,56.16,56.16,56.16,56.16,-1
68,20201207  09:40:00,56.16,56.16,56.16,56.16,-1
69,20201207  09:45:00,56.16,56.16,55.48,55.59,-1
70,20201207  09:50:00,55.59,55.59,55.255,55.26,-1
71,20201207  09:55:00,55.26,55.675,55.105,55.65,-1
72,20201207  10:00:00,55.65,55.65,55.33,55.355,-1
73,20201207  10:05:00,55.355,55.62,55.305,55.595,-1
74,20201207  10:10:00,55.595,55.795,55.57,55.68,-1
75,20201207  10:15:00,55.68,55.74,55.575,55.69,-1
76,20201207  10:20:00,55.69,55.765,55.555,55.72,-1
77,20201207  10:25:00,55.72,55.905,55.66,55.85,-1
78,20201207  10:30:00,55.85,56.04,55.765,55.84,-1
79,20201207  10:35:00,55.84,56.08,55.815,56.07,-1
80,20201207  10:40:00,56.07,56.145,55.795,55.875,-1
81,20201207  10:45:00,55.875,55.94,55.815,55.885,-1
82,20201207  10:50:00,55.885,56.095,55.815,56.03,-1
83,20201207  10:55:00,56.03,56.03,55.765,55.84,-1
84,20201207  11:00:00,55.84,55.975,55.775,55.83,-1
85,20201207  11:05:00,55.83,55.87,55.72,55.735,-1
